hashtags: Descending;Polarisation;Count
#2017LeDebat;neutre;19,516
#Debat2017;neutre;6,065
#2017LeDébat;neutre;5,35
#LePen;neutre;2,382
#Macron;neutre;1,505
#LeGrandDebat;neutre;1,409
#LEDEBAT2017;neutre;1,406
#JeVoteMacron;positif;1,267
#GrandDebat;neutre;1,126
#MarineLePen;neutre;750
#MLP;neutre;610
#EnMarche;positif;570
#FN;neutre;555
#Presidentielle2017;neutre;463
#France;neutre;443
#Debat2ndTour;neutre;412
#EmmanuelMacron;neutre;408
#debatpresidentiel;neutre;330
#LeDebat;neutre;310
#Débat2017;neutre;292
#RendezNousMelenchon;negatif;259
#Marine2017;positif;213
#Presidentielles2017;neutre;204
#MacronPresident;positif;200
#LePenMacron;neutre;186
#;neutre;141
#BFMTV;neutre;141
#TF1;neutre;112
#SansMoiLe7Mai;negatif;111
#LePenNon;negatif;88
#Debatpresidentielle;neutre;87
#Marine;neutre;86
#debatpresidentielle2017;neutre;81
#macronlepen;neutre;81
#LeDébat2017;neutre;78
#JeVoteElleDegage;negatif;74
#MLP2017;positif;70
#macron2017;positif;70
#TitanicLePen;negatif;69
#ASMJUV;neutre;66
#FranceInsoumise;negatif;56
#NonauFN;negatif;56
#RendezNousMélenchon;negatif;54
#ToutSaufMacron;negatif;53
#JeVote;neutre;50
#2017debat;neutre;48
#GrandDébat;neutre;45
#Handicap;negatif;44
#Melenchon;neutre;42
#JamaisMacron;negatif;41
#sondage;neutre;41
#insoumis;negatif;40
#ElectionPresidentielle2017;neutre;39
#france2;neutre;39
#Présidentielle2017;neutre;35
#UOIF;neutre;35
#DebatTF1;neutre;34
#LeGrandDébat;neutre;34
#WhatsApp;neutre;34
#votezmacron;positif;34
#EM;neutre;33
#Hollande;neutre;32
#2017DébatPrésidentiel;neutre;31
#débat;neutre;31
#AjaxOL;neutre;30
#Elections2017;neutre;30
#MacronPrésident;neutre;30
#debat;neutre;29
#ElectionsPresidentielles2017;neutre;28
#LeGrandDebat2017;neutre;28
#AvenirEnCommun;neutre;27
#7maicontreLePen;negatif;26
#FHaine;negatif;26
#elysee2017;neutre;26
#FI;neutre;25
#Fillon;neutre;25
#Trump;neutre;25
#TF1Presidentielle2017;neutre;24
#2017DebatPresidentiel;neutre;23
#LCI;neutre;23
#DébatPrésidentiel;neutre;22
#Elabe;neutre;22
#JLM2017;negatif;22
#LR;neutre;22
#Punchline;neutre;22
#whatsappdown;neutre;22
#2017LeGrandDebat;neutre;21
#NathalieSaintCricq;neutre;20
#cnews;neutre;20
#ensemble;neutre;20
#parasite;negatif;20
#2017Débat;neutre;19
#LePoidsDesMots;neutre;19
#PasUneVoixPourLeFN;negatif;19
#écologie;neutre;19
#DupontAignan;neutre;18
#Europe;neutre;18
#Présidentielles2017;neutre;18
#honte;negatif;18
#legislatives2017;neutre;18
#Abstention;negatif;17
#BreakingNews;neutre;17
#ChoisirLaFrance;neutre;17
#Europe2017;neutre;17
#PasLePenDEssayer;negatif;17
#Rediff;neutre;17
#ecologie;neutre;17
#marinepresidente;positif;17
#72;neutre;16
#DangerMacron;negatif;15
#FNJamais;negatif;15
#MacronGate;negatif;15
#factchecking;neutre;15
#tristesse;negatif;15
#2007LeDébat;neutre;14
#2017;neutre;14
#Avote;neutre;14
#Chirac;neutre;14
#Fakenews;neutre;14
#Mélenchon;neutre;14
#Presidentielle;neutre;14
#Russie;neutre;14
#ViveLePen;positif;14
#autisme;negatif;14
#AuNomDuPeuple;neutre;13
#ElyseeLive;neutre;13
#RIP;negatif;13
#le7maijevoteMACRON;positif;13
#législatives;neutre;13
#news;neutre;13
#Le;neutre;12
#MLPNDA;neutre;12
#MarinePrésidente;positif;12
#SortonsLePen;negatif;12
#barrage;negatif;12
#secondtour;neutre;12
#DebatMacronLePen;neutre;11
#JamaisLeFN;negatif;11
#Kaamelott;neutre;11
#LeDébat;neutre;11
#Présidentielle;neutre;11
#auxurnes;neutre;11
#badtrip;neutre;11
#franceinfo;neutre;11
#stopfn7mai;negatif;11
#1erMai;neutre;10
#BFM;neutre;10
